City	Cases	Date
Зарайск	17	01.05.2020
Звездный городок	1	01.05.2020
Ивантеевка	200	01.05.2020
Истра	150	01.05.2020
Кашира	29	01.05.2020
Клин	112	01.05.2020
Коломна	250	01.05.2020
Королев	492	01.05.2020
Котельники	131	01.05.2020
Красноармейск	24	01.05.2020
Красногорск	610	01.05.2020
Краснознаменск	61	01.05.2020
Ленинский	492	01.05.2020
Лобня	178	01.05.2020
Лосино-Петровский	26	01.05.2020
Лотошино	7	01.05.2020
Луховицы	65	01.05.2020
Лыткарино	42	01.05.2020
Люберцы	709	01.05.2020
Можайск	37	01.05.2020
Мытищи	496	01.05.2020
Наро-Фоминск	133	01.05.2020
Одинцово	764	01.05.2020
Озеры	44	01.05.2020
Орехово-Зуево	167	01.05.2020
Павловский Посад	46	01.05.2020
Подольск	555	01.05.2020
Протвино	26	01.05.2020
Пушкино	297	01.05.2020
Пущино	4	01.05.2020
Раменское	381	01.05.2020
Реутов	176	01.05.2020
Рошаль	13	01.05.2020
Руза	96	01.05.2020
Сергиев Посад	269	01.05.2020
Серебряные Пруды	25	01.05.2020
Серпухов	90	01.05.2020
Солнечногорск	231	01.05.2020
Ступино	80	01.05.2020
Талдом	18	01.05.2020
Фрязино	62	01.05.2020
Химки	423	01.05.2020
Черноголовка	6	01.05.2020
Чехов	72	01.05.2020
Шатура	72	01.05.2020
Шаховская	25	01.05.2020
Щелково	192	01.05.2020
Электрогорск	32	01.05.2020
Электросталь	64	01.05.2020
Балашиха	544	02.05.2020
Богородский	107	02.05.2020
Бронницы	15	02.05.2020
Власиха	30	02.05.2020
Волоколамск	33	02.05.2020
Воскресенск	211	02.05.2020
Дзержинский	191	02.05.2020
Дмитров	203	02.05.2020
Долгопрудный	210	02.05.2020
Домодедово	287	02.05.2020
Дубна	14	02.05.2020
Егорьевск	77	02.05.2020
Жуковский	125	02.05.2020
Зарайск	17	02.05.2020
Звездный городок	1	02.05.2020
Ивантеевка	208	02.05.2020
Истра	169	02.05.2020
Кашира	29	02.05.2020
Клин	124	02.05.2020
Коломна	302	02.05.2020
Королев	560	02.05.2020
Котельники	138	02.05.2020
Красноармейск	24	02.05.2020
Красногорск	635	02.05.2020
Краснознаменск	69	02.05.2020
Ленинский	504	02.05.2020
Лобня	191	02.05.2020
Лосино-Петровский	30	02.05.2020
Лотошино	7	02.05.2020
Луховицы	74	02.05.2020
Лыткарино	42	02.05.2020
Люберцы	726	02.05.2020
Можайск	37	02.05.2020
Мытищи	567	02.05.2020
Наро-Фоминск	138	02.05.2020
Одинцово	814	02.05.2020
Озеры	50	02.05.2020
Орехово-Зуево	183	02.05.2020
Павловский Посад	48	02.05.2020
Подольск	582	02.05.2020
Протвино	29	02.05.2020
Пушкино	302	02.05.2020
Пущино	4	02.05.2020
Раменское	388	02.05.2020
Реутов	191	02.05.2020
Рошаль	13	02.05.2020
Руза	96	02.05.2020
Сергиев Посад	302	02.05.2020
Серебряные Пруды	26	02.05.2020
Серпухов	95	02.05.2020
Солнечногорск	247	02.05.2020
Ступино	90	02.05.2020
Талдом	18	02.05.2020
Фрязино	62	02.05.2020
Химки	450	02.05.2020
Черноголовка	6	02.05.2020
Чехов	81	02.05.2020
Шатура	74	02.05.2020
Шаховская	25	02.05.2020
Щелково	203	02.05.2020
Электрогорск	35	02.05.2020
Электросталь	70	02.05.2020
Балашиха	588	03.05.2020
Богородский	112	03.05.2020
Бронницы	15	03.05.2020
Власиха	30	03.05.2020
Волоколамск	40	03.05.2020
Воскресенск	240	03.05.2020
Дзержинский	195	03.05.2020
Дмитров	209	03.05.2020
Долгопрудный	223	03.05.2020
Домодедово	298	03.05.2020
Дубна	14	03.05.2020
Егорьевск	77	03.05.2020
Жуковский	133	03.05.2020
Зарайск	21	03.05.2020
Звездный городок	1	03.05.2020
Ивантеевка	221	03.05.2020
Истра	189	03.05.2020
Кашира	30	03.05.2020
Клин	137	03.05.2020
Коломна	308	03.05.2020
Королев	615	03.05.2020
Котельники	143	03.05.2020
Красноармейск	24	03.05.2020
Красногорск	704	03.05.2020
Краснознаменск	70	03.05.2020
Ленинский	514	03.05.2020
Лобня	200	03.05.2020
Лосино-Петровский	30	03.05.2020
Лотошино	7	03.05.2020
Луховицы	82	03.05.2020
Лыткарино	47	03.05.2020
Люберцы	765	03.05.2020
Можайск	37	03.05.2020
Мытищи	630	03.05.2020
Наро-Фоминск	149	03.05.2020
Одинцово	852	03.05.2020
Озеры	52	03.05.2020
Орехово-Зуево	199	03.05.2020
Павловский Посад	51	03.05.2020
Подольск	608	03.05.2020
Протвино	30	03.05.2020
Пушкино	339	03.05.2020
Пущино	4	03.05.2020
Раменское	401	03.05.2020
Реутов	199	03.05.2020
Рошаль	13	03.05.2020
Руза	98	03.05.2020
Сергиев Посад	315	03.05.2020
Серебряные Пруды	26	03.05.2020
Серпухов	100	03.05.2020
Солнечногорск	261	03.05.2020
Ступино	90	03.05.2020
Талдом	18	03.05.2020
Фрязино	67	03.05.2020
Химки	481	03.05.2020
Черноголовка	6	03.05.2020
Чехов	83	03.05.2020
Шатура	86	03.05.2020
Шаховская	37	03.05.2020
Щелково	221	03.05.2020
Электрогорск	36	03.05.2020
Электросталь	75	03.05.2020
Балашиха	658	04.05.2020
Богородский	124	04.05.2020
Бронницы	17	04.05.2020
Власиха	30	04.05.2020
Волоколамск	44	04.05.2020
Воскресенск	247	04.05.2020
Дзержинский	201	04.05.2020
Дмитров	215	04.05.2020
Долгопрудный	255	04.05.2020
Домодедово	301	04.05.2020
Дубна	15	04.05.2020
Егорьевск	89	04.05.2020
Жуковский	134	04.05.2020
Зарайск	21	04.05.2020
Звездный городок	1	04.05.2020
Ивантеевка	256	04.05.2020
Истра	206	04.05.2020
Кашира	30	04.05.2020
Клин	145	04.05.2020
Коломна	311	04.05.2020
Королев	749	04.05.2020
Котельники	148	04.05.2020
Красноармейск	24	04.05.2020
Красногорск	757	04.05.2020
Краснознаменск	74	04.05.2020
Ленинский	544	04.05.2020
Лобня	230	04.05.2020
Лосино-Петровский	31	04.05.2020
Лотошино	7	04.05.2020
Луховицы	83	04.05.2020
Лыткарино	48	04.05.2020
Люберцы	801	04.05.2020
Можайск	38	04.05.2020
Мытищи	649	04.05.2020
Наро-Фоминск	152	04.05.2020
Одинцово	858	04.05.2020
Озеры	54	04.05.2020
Орехово-Зуево	234	04.05.2020
Павловский Посад	79	04.05.2020
Подольск	609	04.05.2020
Протвино	30	04.05.2020
Пушкино	371	04.05.2020
Пущино	4	04.05.2020
Раменское	415	04.05.2020
Реутов	208	04.05.2020
Рошаль	13	04.05.2020
Руза	102	04.05.2020
Сергиев Посад	333	04.05.2020
Серебряные Пруды	26	04.05.2020
Серпухов	101	04.05.2020
Солнечногорск	291	04.05.2020
Ступино	90	04.05.2020
Талдом	18	04.05.2020
Фрязино	72	04.05.2020
Химки	482	04.05.2020
Черноголовка	6	04.05.2020
Чехов	83	04.05.2020
Шатура	106	04.05.2020
Шаховская	37	04.05.2020
Щелково	225	04.05.2020
Электрогорск	38	04.05.2020
Электросталь	79	04.05.2020
Балашиха	714	05.05.2020
Богородский	127	05.05.2020
Бронницы	18	05.05.2020
Власиха	34	05.05.2020
Волоколамск	45	05.05.2020
Воскресенск	259	05.05.2020
Дзержинский	206	05.05.2020
Дмитров	219	05.05.2020
Долгопрудный	270	05.05.2020
Домодедово	328	05.05.2020
Дубна	15	05.05.2020
Егорьевск	92	05.05.2020
Жуковский	159	05.05.2020
Зарайск	27	05.05.2020
Звездный городок	1	05.05.2020
Ивантеевка	289	05.05.2020
Истра	213	05.05.2020
Кашира	32	05.05.2020
Клин	151	05.05.2020
Коломна	387	05.05.2020
Королев	778	05.05.2020
Котельники	156	05.05.2020
Красноармейск	24	05.05.2020
Красногорск	799	05.05.2020
Краснознаменск	88	05.05.2020
Ленинский	552	05.05.2020
Лобня	233	05.05.2020
Лосино-Петровский	32	05.05.2020
Лотошино	8	05.05.2020
Луховицы	89	05.05.2020
Лыткарино	56	05.05.2020
Люберцы	825	05.05.2020
Можайск	44	05.05.2020
Мытищи	667	05.05.2020
Наро-Фоминск	177	05.05.2020
Одинцово	888	05.05.2020
Озеры	59	05.05.2020
Орехово-Зуево	243	05.05.2020
Павловский Посад	82	05.05.2020
Подольск	648	05.05.2020
Протвино	32	05.05.2020
Пушкино	383	05.05.2020
Пущино	4	05.05.2020
Раменское	456	05.05.2020
Реутов	230	05.05.2020
Рошаль	13	05.05.2020
Руза	113	05.05.2020
Сергиев Посад	360	05.05.2020
Серебряные Пруды	26	05.05.2020
Серпухов	113	05.05.2020
Солнечногорск	293	05.05.2020
Ступино	92	05.05.2020
Талдом	18	05.05.2020
Фрязино	73	05.05.2020
Химки	507	05.05.2020
Черноголовка	6	05.05.2020
Чехов	86	05.05.2020
Шатура	112	05.05.2020
Шаховская	37	05.05.2020
Щелково	240	05.05.2020
Электрогорск	39	05.05.2020
Электросталь	86	05.05.2020
Балашиха	723	06.05.2020
Богородский	127	06.05.2020
Бронницы	20	06.05.2020
Власиха	34	06.05.2020
Волоколамск	46	06.05.2020
Воскресенск	273	06.05.2020
Дзержинский	213	06.05.2020
Дмитров	224	06.05.2020
Долгопрудный	279	06.05.2020
Домодедово	361	06.05.2020
Дубна	18	06.05.2020
Егорьевск	97	06.05.2020
Жуковский	165	06.05.2020
Зарайск	27	06.05.2020
Звездный городок	1	06.05.2020
Ивантеевка	294	06.05.2020
Истра	218	06.05.2020
Кашира	32	06.05.2020
Клин	151	06.05.2020
Коломна	389	06.05.2020
Королев	931	06.05.2020
Котельники	159	06.05.2020
Красноармейск	25	06.05.2020
Красногорск	800	06.05.2020
Краснознаменск	90	06.05.2020
Ленинский	590	06.05.2020
Лобня	242	06.05.2020
Лосино-Петровский	32	06.05.2020
Лотошино	8	06.05.2020
Луховицы	94	06.05.2020
Лыткарино	60	06.05.2020
Люберцы	854	06.05.2020
Можайск	49	06.05.2020
Мытищи	682	06.05.2020
Наро-Фоминск	199	06.05.2020
Одинцово	932	06.05.2020
Озеры	62	06.05.2020
Орехово-Зуево	259	06.05.2020
Павловский Посад	83	06.05.2020
Подольск	787	06.05.2020
Протвино	35	06.05.2020
Пушкино	399	06.05.2020
Пущино	4	06.05.2020
Раменское	480	06.05.2020
Реутов	235	06.05.2020
Рошаль	16	06.05.2020
Руза	127	06.05.2020
Сергиев Посад	374	06.05.2020
Серебряные Пруды	29	06.05.2020
Серпухов	133	06.05.2020
Солнечногорск	294	06.05.2020
Ступино	99	06.05.2020
Талдом	19	06.05.2020
Фрязино	78	06.05.2020
Химки	538	06.05.2020
Черноголовка	6	06.05.2020
Чехов	90	06.05.2020
Шатура	114	06.05.2020
Шаховская	37	06.05.2020
Щелково	252	06.05.2020
Электрогорск	39	06.05.2020
Электросталь	87	06.05.2020
Балашиха	727	07.05.2020
Богородский	128	07.05.2020
Бронницы	21	07.05.2020
Власиха	35	07.05.2020
Волоколамск	46	07.05.2020
Воскресенск	286	07.05.2020
Дзержинский	228	07.05.2020
Дмитров	229	07.05.2020
Долгопрудный	279	07.05.2020
Домодедово	392	07.05.2020
Дубна	28	07.05.2020
Егорьевск	101	07.05.2020
Жуковский	172	07.05.2020
Зарайск	30	07.05.2020
Звездный городок	1	07.05.2020
Ивантеевка	302	07.05.2020
Истра	222	07.05.2020
Кашира	32	07.05.2020
Клин	213	07.05.2020
Коломна	433	07.05.2020
Королев	963	07.05.2020
Котельники	165	07.05.2020
Красноармейск	25	07.05.2020
Красногорск	814	07.05.2020
Краснознаменск	94	07.05.2020
Ленинский	666	07.05.2020
Лобня	246	07.05.2020
Лосино-Петровский	32	07.05.2020
Лотошино	8	07.05.2020
Луховицы	106	07.05.2020
Лыткарино	60	07.05.2020
Люберцы	892	07.05.2020
Можайск	53	07.05.2020
Мытищи	698	07.05.2020
Наро-Фоминск	214	07.05.2020
Одинцово	975	07.05.2020
Озеры	71	07.05.2020
Орехово-Зуево	286	07.05.2020
Павловский Посад	85	07.05.2020
Подольск	820	07.05.2020
Протвино	36	07.05.2020
Пушкино	413	07.05.2020
Пущино	4	07.05.2020
Раменское	489	07.05.2020
Реутов	259	07.05.2020
Рошаль	18	07.05.2020
Руза	129	07.05.2020
Сергиев Посад	386	07.05.2020
Серебряные Пруды	29	07.05.2020
Серпухов	138	07.05.2020
Солнечногорск	296	07.05.2020
Ступино	100	07.05.2020
Талдом	19	07.05.2020
Фрязино	82	07.05.2020
Химки	563	07.05.2020
Черноголовка	6	07.05.2020
Чехов	95	07.05.2020
Шатура	128	07.05.2020
Шаховская	47	07.05.2020
Щелково	260	07.05.2020
Электрогорск	39	07.05.2020
Электросталь	93	07.05.2020
Балашиха	762	08.05.2020
Богородский	154	08.05.2020
Бронницы	21	08.05.2020
Власиха	35	08.05.2020
Волоколамск	46	08.05.2020
Воскресенск	304	08.05.2020
Дзержинский	235	08.05.2020
Дмитров	270	08.05.2020
Долгопрудный	301	08.05.2020
Домодедово	405	08.05.2020
Дубна	30	08.05.2020
Егорьевск	104	08.05.2020
Жуковский	177	08.05.2020
Зарайск	33	08.05.2020
Звездный городок	1	08.05.2020
Ивантеевка	310	08.05.2020
Истра	226	08.05.2020
Кашира	32	08.05.2020
Клин	258	08.05.2020
Коломна	539	08.05.2020
Королев	992	08.05.2020
Котельники	167	08.05.2020
Красноармейск	25	08.05.2020
Красногорск	840	08.05.2020
Краснознаменск	107	08.05.2020
Ленинский	668	08.05.2020
Лобня	251	08.05.2020
Лосино-Петровский	32	08.05.2020
Лотошино	8	08.05.2020
Луховицы	113	08.05.2020
Лыткарино	70	08.05.2020
Люберцы	933	08.05.2020
Можайск	62	08.05.2020
Мытищи	707	08.05.2020
Наро-Фоминск	223	08.05.2020
Одинцово	1006	08.05.2020
Озеры	74	08.05.2020
Орехово-Зуево	297	08.05.2020
Павловский Посад	89	08.05.2020
Подольск	883	08.05.2020
Протвино	36	08.05.2020
Пушкино	462	08.05.2020
Пущино	4	08.05.2020
Раменское	507	08.05.2020
Реутов	268	08.05.2020
Рошаль	22	08.05.2020
Руза	136	08.05.2020
Сергиев Посад	432	08.05.2020
Серебряные Пруды	29	08.05.2020
Серпухов	146	08.05.2020
Солнечногорск	310	08.05.2020
Ступино	108	08.05.2020
Талдом	20	08.05.2020
Фрязино	87	08.05.2020
Химки	570	08.05.2020
Черноголовка	6	08.05.2020
Чехов	101	08.05.2020
Шатура	146	08.05.2020
Шаховская	47	08.05.2020
Щелково	268	08.05.2020
Электрогорск	40	08.05.2020
Электросталь	122	08.05.2020
Балашиха	788	09.05.2020
Богородский	188	09.05.2020
Бронницы	21	09.05.2020
Власиха	39	09.05.2020
Волоколамск	47	09.05.2020
Воскресенск	311	09.05.2020
Дзержинский	246	09.05.2020
Дмитров	298	09.05.2020
Долгопрудный	318	09.05.2020
Домодедово	442	09.05.2020
Дубна	31	09.05.2020
Егорьевск	108	09.05.2020
Жуковский	183	09.05.2020
Зарайск	40	09.05.2020
Звездный городок	1	09.05.2020
Ивантеевка	357	09.05.2020
Истра	239	09.05.2020
Кашира	40	09.05.2020
Клин	293	09.05.2020
Коломна	548	09.05.2020
Королев	1030	09.05.2020
Котельники	170	09.05.2020
Красноармейск	27	09.05.2020
Красногорск	883	09.05.2020
Краснознаменск	114	09.05.2020
Ленинский	690	09.05.2020
Лобня	255	09.05.2020
Лосино-Петровский	33	09.05.2020
Лотошино	9	09.05.2020
Луховицы	127	09.05.2020
Лыткарино	71	09.05.2020
Люберцы	953	09.05.2020
Можайск	64	09.05.2020
Мытищи	725	09.05.2020
Наро-Фоминск	234	09.05.2020
Одинцово	1080	09.05.2020
Озеры	82	09.05.2020
Орехово-Зуево	341	09.05.2020
Павловский Посад	93	09.05.2020
Подольск	967	09.05.2020
Протвино	37	09.05.2020
Пушкино	516	09.05.2020
Пущино	5	09.05.2020
Раменское	536	09.05.2020
Реутов	307	09.05.2020
Рошаль	22	09.05.2020
Руза	164	09.05.2020
Сергиев Посад	446	09.05.2020
Серебряные Пруды	29	09.05.2020
Серпухов	156	09.05.2020
Солнечногорск	350	09.05.2020
Ступино	118	09.05.2020
Талдом	20	09.05.2020
Фрязино	89	09.05.2020
Химки	586	09.05.2020
Черноголовка	9	09.05.2020
Чехов	108	09.05.2020
Шатура	159	09.05.2020
Шаховская	56	09.05.2020
Щелково	289	09.05.2020
Электрогорск	46	09.05.2020
Электросталь	133	09.05.2020
Балашиха	817	10.05.2020
Богородский	189	10.05.2020
Бронницы	21	10.05.2020
Власиха	40	10.05.2020
Волоколамск	51	10.05.2020
Воскресенск	332	10.05.2020
Дзержинский	248	10.05.2020
Дмитров	341	10.05.2020
Долгопрудный	324	10.05.2020
Домодедово	464	10.05.2020
Дубна	46	10.05.2020
Егорьевск	126	10.05.2020
Жуковский	191	10.05.2020
Зарайск	40	10.05.2020
Звездный городок	1	10.05.2020
Ивантеевка	386	10.05.2020
Истра	241	10.05.2020
Кашира	44	10.05.2020
Клин	431	10.05.2020
Коломна	609	10.05.2020
Королев	1100	10.05.2020
Котельники	171	10.05.2020
Красноармейск	29	10.05.2020
Красногорск	952	10.05.2020
Краснознаменск	115	10.05.2020
Ленинский	694	10.05.2020
Лобня	300	10.05.2020
Лосино-Петровский	33	10.05.2020
Лотошино	10	10.05.2020
Луховицы	130	10.05.2020
Лыткарино	77	10.05.2020
Люберцы	997	10.05.2020
Можайск	64	10.05.2020
Мытищи	762	10.05.2020
Наро-Фоминск	241	10.05.2020
Одинцово	1104	10.05.2020
Озеры	85	10.05.2020
Орехово-Зуево	375	10.05.2020
Павловский Посад	101	10.05.2020
Подольск	1015	10.05.2020
Протвино	40	10.05.2020
Пушкино	524	10.05.2020
Пущино	5	10.05.2020
Раменское	544	10.05.2020
Реутов	330	10.05.2020
Рошаль	23	10.05.2020
Руза	167	10.05.2020
Сергиев Посад	505	10.05.2020
Серебряные Пруды	30	10.05.2020
Серпухов	201	10.05.2020
Солнечногорск	359	10.05.2020
Ступино	122	10.05.2020
Талдом	24	10.05.2020
Фрязино	91	10.05.2020
Химки	619	10.05.2020
Черноголовка	10	10.05.2020
Чехов	121	10.05.2020
Шатура	165	10.05.2020
Шаховская	58	10.05.2020
Щелково	317	10.05.2020
Электрогорск	47	10.05.2020
Электросталь	133	10.05.2020
Балашиха	844	11.05.2020
Богородский	212	11.05.2020
Бронницы	21	11.05.2020
Власиха	42	11.05.2020
Волоколамск	53	11.05.2020
Воскресенск	344	11.05.2020
Дзержинский	254	11.05.2020
Дмитров	367	11.05.2020
Долгопрудный	325	11.05.2020
Домодедово	489	11.05.2020
Дубна	46	11.05.2020
Егорьевск	154	11.05.2020
Жуковский	222	11.05.2020
Зарайск	41	11.05.2020
Звездный городок	2	11.05.2020
Ивантеевка	413	11.05.2020
Истра	264	11.05.2020
Кашира	44	11.05.2020
Клин	488	11.05.2020
Коломна	632	11.05.2020
Королев	1148	11.05.2020
Котельники	174	11.05.2020
Красноармейск	30	11.05.2020
Красногорск	1038	11.05.2020
Краснознаменск	126	11.05.2020
Ленинский	706	11.05.2020
Лобня	303	11.05.2020
Лосино-Петровский	39	11.05.2020
Лотошино	10	11.05.2020
Луховицы	142	11.05.2020
Лыткарино	89	11.05.2020
Люберцы	1034	11.05.2020
Можайск	70	11.05.2020
Мытищи	799	11.05.2020
Наро-Фоминск	275	11.05.2020
Одинцово	1146	11.05.2020
Озеры	90	11.05.2020
Орехово-Зуево	395	11.05.2020
Павловский Посад	104	11.05.2020
Подольск	1073	11.05.2020
Протвино	43	11.05.2020
Пушкино	559	11.05.2020
Пущино	6	11.05.2020
Раменское	569	11.05.2020
Реутов	333	11.05.2020
Рошаль	24	11.05.2020
Руза	201	11.05.2020
Сергиев Посад	532	11.05.2020
Серебряные Пруды	32	11.05.2020
Серпухов	221	11.05.2020
Солнечногорск	360	11.05.2020
Ступино	125	11.05.2020
Талдом	26	11.05.2020
Фрязино	103	11.05.2020
Химки	639	11.05.2020
Черноголовка	10	11.05.2020
Чехов	124	11.05.2020
Шатура	189	11.05.2020
Шаховская	58	11.05.2020
Щелково	353	11.05.2020
Электрогорск	50	11.05.2020
Электросталь	150	11.05.2020
Балашиха	880	12.05.2020
Богородский	225	12.05.2020
Бронницы	21	12.05.2020
Власиха	44	12.05.2020
Волоколамск	58	12.05.2020
Воскресенск	351	12.05.2020
Дзержинский	258	12.05.2020
Дмитров	409	12.05.2020
Долгопрудный	334	12.05.2020
Домодедово	514	12.05.2020
Дубна	55	12.05.2020
Егорьевск	169	12.05.2020
Жуковский	246	12.05.2020
Зарайск	48	12.05.2020
Звездный городок	2	12.05.2020
Ивантеевка	426	12.05.2020
Истра	286	12.05.2020
Кашира	48	12.05.2020
Клин	534	12.05.2020
Коломна	671	12.05.2020
Королев	1184	12.05.2020
Котельники	180	12.05.2020
Красноармейск	30	12.05.2020
Красногорск	1120	12.05.2020
Краснознаменск	126	12.05.2020
Ленинский	719	12.05.2020
Лобня	324	12.05.2020
Лосино-Петровский	42	12.05.2020
Лотошино	14	12.05.2020
Луховицы	149	12.05.2020
Лыткарино	99	12.05.2020
Люберцы	1063	12.05.2020
Можайск	75	12.05.2020
Мытищи	818	12.05.2020
Наро-Фоминск	301	12.05.2020
Одинцово	1189	12.05.2020
Озеры	94	12.05.2020
Орехово-Зуево	429	12.05.2020
Павловский Посад	107	12.05.2020
Подольск	1120	12.05.2020
Протвино	50	12.05.2020
Пушкино	584	12.05.2020
Пущино	6	12.05.2020
Раменское	587	12.05.2020
Реутов	353	12.05.2020
Рошаль	25	12.05.2020
Руза	209	12.05.2020
Сергиев Посад	548	12.05.2020
Серебряные Пруды	35	12.05.2020
Серпухов	234	12.05.2020
Солнечногорск	378	12.05.2020
Ступино	148	12.05.2020
Талдом	26	12.05.2020
Фрязино	115	12.05.2020
Химки	680	12.05.2020
Черноголовка	10	12.05.2020
Чехов	128	12.05.2020
Шатура	205	12.05.2020
Шаховская	60	12.05.2020
Щелково	379	12.05.2020
Электрогорск	52	12.05.2020
Электросталь	156	12.05.2020
Балашиха	899	13.05.2020
Богородский	237	13.05.2020
Бронницы	22	13.05.2020
Власиха	45	13.05.2020
Волоколамск	58	13.05.2020
Воскресенск	388	13.05.2020
Дзержинский	264	13.05.2020
Дмитров	418	13.05.2020
Долгопрудный	345	13.05.2020
Домодедово	538	13.05.2020
Дубна	65	13.05.2020
Егорьевск	187	13.05.2020
Жуковский	257	13.05.2020
Зарайск	60	13.05.2020
Звездный городок	2	13.05.2020
Ивантеевка	430	13.05.2020
Истра	304	13.05.2020
Кашира	49	13.05.2020
Клин	574	13.05.2020
Коломна	735	13.05.2020
Королев	1259	13.05.2020
Котельники	182	13.05.2020
Красноармейск	31	13.05.2020
Красногорск	1173	13.05.2020
Краснознаменск	132	13.05.2020
Ленинский	759	13.05.2020
Лобня	336	13.05.2020
Лосино-Петровский	42	13.05.2020
Лотошино	15	13.05.2020
Луховицы	155	13.05.2020
Лыткарино	101	13.05.2020
Люберцы	1086	13.05.2020
Можайск	79	13.05.2020
Мытищи	847	13.05.2020
Наро-Фоминск	305	13.05.2020
Одинцово	1219	13.05.2020
Озеры	94	13.05.2020
Орехово-Зуево	464	13.05.2020
Павловский Посад	118	13.05.2020
Подольск	1170	13.05.2020
Протвино	50	13.05.2020
Пушкино	601	13.05.2020
Пущино	7	13.05.2020
Раменское	605	13.05.2020
Реутов	358	13.05.2020
Рошаль	34	13.05.2020
Руза	217	13.05.2020
Сергиев Посад	584	13.05.2020
Серебряные Пруды	36	13.05.2020
Серпухов	247	13.05.2020
Солнечногорск	394	13.05.2020
Ступино	177	13.05.2020
Талдом	29	13.05.2020
Фрязино	126	13.05.2020
Химки	702	13.05.2020
Черноголовка	10	13.05.2020
Чехов	136	13.05.2020
Шатура	232	13.05.2020
Шаховская	66	13.05.2020
Щелково	381	13.05.2020
Электрогорск	54	13.05.2020
Электросталь	176	13.05.2020
Балашиха	924	14.05.2020
Богородский	263	14.05.2020
Бронницы	23	14.05.2020
Власиха	46	14.05.2020
Волоколамск	61	14.05.2020
Воскресенск	402	14.05.2020
Дзержинский	273	14.05.2020
Дмитров	455	14.05.2020
Долгопрудный	364	14.05.2020
Домодедово	558	14.05.2020
Дубна	67	14.05.2020
Егорьевск	216	14.05.2020
Жуковский	275	14.05.2020
Зарайск	66	14.05.2020
Звездный городок	2	14.05.2020
Ивантеевка	439	14.05.2020
Истра	315	14.05.2020
Кашира	55	14.05.2020
Клин	581	14.05.2020
Коломна	747	14.05.2020
Королев	1283	14.05.2020
Котельники	185	14.05.2020
Красноармейск	31	14.05.2020
Красногорск	1231	14.05.2020
Краснознаменск	133	14.05.2020
Ленинский	814	14.05.2020
Лобня	343	14.05.2020
Лосино-Петровский	43	14.05.2020
Лотошино	17	14.05.2020
Луховицы	159	14.05.2020
Лыткарино	128	14.05.2020
Люберцы	1113	14.05.2020
Можайск	82	14.05.2020
Мытищи	860	14.05.2020
Наро-Фоминск	308	14.05.2020
Одинцово	1236	14.05.2020
Озеры	102	14.05.2020
Орехово-Зуево	495	14.05.2020
Павловский Посад	120	14.05.2020
Подольск	1232	14.05.2020
Протвино	56	14.05.2020
Пушкино	645	14.05.2020
Пущино	8	14.05.2020
Раменское	617	14.05.2020
Реутов	391	14.05.2020
Рошаль	37	14.05.2020
Руза	221	14.05.2020
Сергиев Посад	648	14.05.2020
Серебряные Пруды	36	14.05.2020
Серпухов	257	14.05.2020
Солнечногорск	406	14.05.2020
Ступино	188	14.05.2020
Талдом	35	14.05.2020
Фрязино	127	14.05.2020
Химки	736	14.05.2020
Черноголовка	10	14.05.2020
Чехов	142	14.05.2020
Шатура	248	14.05.2020
Шаховская	66	14.05.2020
Щелково	393	14.05.2020
Электрогорск	58	14.05.2020
Электросталь	190	14.05.2020
Балашиха	955	15.05.2020
Богородский	277	15.05.2020
Бронницы	23	15.05.2020
Власиха	47	15.05.2020
Волоколамск	63	15.05.2020
Воскресенск	424	15.05.2020
Дзержинский	280	15.05.2020
Дмитров	482	15.05.2020
Долгопрудный	379	15.05.2020
Домодедово	590	15.05.2020
Дубна	68	15.05.2020
Егорьевск	218	15.05.2020
Жуковский	299	15.05.2020
Зарайск	70	15.05.2020
Звездный городок	3	15.05.2020
Ивантеевка	492	15.05.2020
Истра	318	15.05.2020
Кашира	57	15.05.2020
Клин	596	15.05.2020
Коломна	766	15.05.2020
Королев	1309	15.05.2020
Котельники	191	15.05.2020
Красноармейск	32	15.05.2020
Красногорск	1297	15.05.2020
Краснознаменск	146	15.05.2020
Ленинский	816	15.05.2020
Лобня	356	15.05.2020
Лосино-Петровский	45	15.05.2020
Лотошино	20	15.05.2020
Луховицы	160	15.05.2020
Лыткарино	129	15.05.2020
Люберцы	1146	15.05.2020
Можайск	83	15.05.2020
Мытищи	880	15.05.2020
Наро-Фоминск	319	15.05.2020
Одинцово	1260	15.05.2020
Озеры	104	15.05.2020
Орехово-Зуево	517	15.05.2020
Павловский Посад	126	15.05.2020
Подольск	1290	15.05.2020
Протвино	56	15.05.2020
Пушкино	688	15.05.2020
Пущино	8	15.05.2020
Раменское	629	15.05.2020
Реутов	406	15.05.2020
Рошаль	38	15.05.2020
Руза	235	15.05.2020
Сергиев Посад	663	15.05.2020
Серебряные Пруды	36	15.05.2020
Серпухов	291	15.05.2020
Солнечногорск	421	15.05.2020
Ступино	194	15.05.2020
Талдом	55	15.05.2020
Фрязино	137	15.05.2020
Химки	749	15.05.2020
Черноголовка	13	15.05.2020
Чехов	155	15.05.2020
Шатура	256	15.05.2020
Шаховская	78	15.05.2020
Щелково	463	15.05.2020
Электрогорск	63	15.05.2020
Электросталь	220	15.05.2020
Балашиха	970	16.05.2020
Богородский	296	16.05.2020
Бронницы	25	16.05.2020
Власиха	47	16.05.2020
